,Unnamed: 0,disney plus_flatrate,adult,original_language,amazon prime video_flatrate,genre_ids,google play movies_rent,original_title,netflix_flatrate,kr_theater_note,release_date,popularity,id,overview,vote_average,wavve_buy,google play movies_buy,title,wavve_flatrate,poster_path,wavve_rent,kr_digital_date,netflix standard with ads_flatrate,tving_flatrate,backdrop_path,watcha_flatrate,softcore,video,kr_digital_note,kr_theater_date,vote_count,apple tv_flatrate,filmbox+_flatrate,crunchyroll_flatrate,sun nxt_flatrate,mubi_flatrate,movieme_rent,global_theater_date,global_digital_date
3003,3003,0.0,False,fr,0.0,18,1.0,À plein temps,0.0,,2022-08-18,0.8845,833417,"파리 교외에서 홀로 두 아이를 기르는 쥘리는 파리 시내의 호텔 룸메이드로 일하며 장거리 출퇴근을 하고 있다. 그녀는 직장 상사 몰래 원하는 직장에 면접을 보게 되고 새로운 삶이 열릴 거라 기대한다. 그런데 전국적인 교통 파업이 발생하여 대중교통 시스템이 마비되자 자신의 직장도, 새롭게 얻으려는 직장도, 자신의 가정도, 아슬아슬하게 부여잡고 있던 일상의 모든 것이 엉망이 될 위기에 처한다. 오늘도 지각 위기에 놓여 절박한 표정으로 파리 시내를 전력 질주하는 쥘리.",7.041,0.0,1.0,풀타임,0.0,/o9NyjwLA0JtlJj9eb97LXtkLjBM.jpg,0.0,2022-08-18,0.0,0.0,/gr2KgfjOfCA4lxCH7yk5bgPIMkp.jpg,1.0,False,False,,2022-08-18,326,0,0,0,0,0,0,2022-03-16,2022-07-16
3004,3004,0.0,False,en,0.0,10749|14|10770,0.0,A Biltmore Christmas,0.0,,2023-11-26,0.9191,1064137,,7.022,0.0,0.0,A Biltmore Christmas,0.0,/zwlauOMw8cqRrl8CFbJ0a4KG38i.jpg,0.0,,0.0,0.0,/vsXayVNvlshSJdMcXRmEiRrPpQg.jpg,0.0,False,False,,,69,0,0,0,0,0,0,,
3005,3005,0.0,False,pl,0.0,10749|35,0.0,Poskromienie złośnicy,1.0,Netflix,2022-04-13,0.8978,953233,실연 후 새 출발을 결심하며 고향으로 돌아온 과학자. 하지만 그녀의 오빠는 동생을 상대로 책략을 꾸미는데. 그가 세운 작전은 잘생긴 이방인을 고용해 동생이 땅을 팔도록 구슬리는 것이다.,5.417,0.0,0.0,말괄량이 길들이기,0.0,/31BUxJlZnNkkTDq8MwriI434ytq.jpg,0.0,2022-04-13,1.0,0.0,/15I9LAVZyx2PZjzfar9NxWcQo5b.jpg,0.0,False,False,Netflix,2022-04-13,120,0,0,0,0,0,0,,2022-04-13
3006,3006,0.0,False,en,0.0,27|878|53,0.0,God of Pain,0.0,,2024-08-20,0.8965,1201734,,6.673,0.0,0.0,God of Pain,0.0,/dF0FAFCfILaor5RBqdNHq24OaIn.jpg,0.0,,0.0,0.0,/kXPCUNo7ALN0S03AbmTY9Ln6Fbc.jpg,0.0,False,False,,,84,0,0,0,0,0,0,2024-08-20,2024-08-20
3007,3007,0.0,False,fr,0.0,18|53,0.0,Dis-moi juste que tu m'aimes,0.0,,2025-02-19,0.7095,1193115,,5.8,0.0,0.0,Dis-moi juste que tu m'aimes,0.0,/7KM3XEP62AzQqM506SBkZmNSOt.jpg,0.0,,0.0,0.0,/ch2fz27m2R0qj8P3Kv992mhjNzh.jpg,0.0,False,False,,,50,0,0,0,0,0,0,2025-02-19,2025-11-19
3008,3008,0.0,False,fr,0.0,18|10749|35,0.0,Chien de la casse,0.0,Jeonju International Film Festival,2024-05-05,0.9179,957608,"프랑스 남부의 작은 마을에서 늘 함께 시간을 보내던 단짝 친구 도그와 미랄레스. 하지만 새로 이사 온 엘사와 도그가 가까워지면서 둘 사이에 미묘한 변화가 생긴다. 미랄레스는 질투와 혼란 속에서 예전처럼 도그를 대할 수 없게 되고, 두 친구의 관계는 서서히 흔들리기 시작한다.",6.895,0.0,0.0,쓰레기장의 개,0.0,/5IRx2sRjbwI1QNv3fafjUBRPgKR.jpg,0.0,,0.0,0.0,/cZo3IX1j2ABMzBUpobjWEtNuyVa.jpg,0.0,False,False,,2024-05-05,390,0,0,0,0,0,0,2023-04-19,2024-01-19
3009,3009,0.0,False,en,0.0,99,0.0,What Is a Woman?,0.0,,2022-06-01,1.002,957258,,6.86,0.0,0.0,What Is a Woman?,0.0,/iiP8Sq7yWoYsKx9EVfyRPno8Un9.jpg,0.0,,0.0,0.0,/e0IYoMXz6kErwYOemIO4akyFxLN.jpg,0.0,False,False,,,260,0,0,0,0,0,0,,2022-06-01
3010,3010,0.0,False,en,0.0,27|53,0.0,Beezel,0.0,,2024-09-20,0.826,1291594,60년이 넘는 격동의 세월 동안 저주받은 뉴잉글랜드의 한 집에 우연히 머물던 세 명의 손님이 바닥 아래에 있는 불길한 비밀 주거지를 우연히 발견합니다. 그 주거지는 살아있는 자의 영혼에 대한 끝없는 갈증을 가진 영원한 마녀입니다.,5.484,0.0,0.0,비젤,0.0,/a9gZxhG98LATZJGy1vWssyjVkk.jpg,0.0,,0.0,0.0,/1NIAoD8mWBfmqRpZiXVrxcAH873.jpg,0.0,False,False,,,63,0,0,0,0,0,0,2024-12-06,2024-09-24
3011,3011,0.0,False,fr,0.0,18|10749,0.0,Le Paradis,0.0,Seoul International Pride Film Festival,2023-11-04,0.6343,1000563,소년원에서 조는 사회 복귀를 준비하고 있다. 하지만 소년원에서 만난 윌리엄은 자유에 대한 조의 욕망을 다른 종류의 욕망으로 바꾸어 놓는다. 소년원이란 담장 뒤에서 조와 윌리엄은 혼란스러운 감정과 욕구에 혼란에 빠지기 시작하는데...,6.92,0.0,0.0,로스트 보이즈,0.0,/97sWWWBtdgoATYPXMTRko6629OI.jpg,0.0,,0.0,0.0,/ikKKneDr1eLh3OzAahjeru227nO.jpg,0.0,False,False,,2023-11-04,75,0,0,0,0,0,0,2023-05-03,2023-12-15
3012,3012,0.0,False,en,0.0,27,0.0,Don't Look at the Demon,0.0,,2022-09-29,0.8516,1022128,,6.816,0.0,0.0,Don't Look at the Demon,0.0,/wSfQ0JEjoeVeVCQR3bmMLl6xBHK.jpg,0.0,,0.0,0.0,/ou8DQx4F0JBrgYglAucYJyE6PZZ.jpg,0.0,False,False,,,87,0,0,0,0,0,0,2022-09-29,2023-02-06
3013,3013,0.0,False,fr,0.0,35|10749|18,0.0,Trois amies,0.0,Busan International Film Festival,2024-10-06,0.9012,1137245,"조안은 더 이상 빅터를 사랑하지 않지만, 거짓된 감정을 품고 있는 것이 괴롭다. 절친한 친구 알리스는 그녀를 위로하지만, 알리스 역시 남편 에릭과의 관계에서 고민하고 있다. 그러나 알리스는 에릭이 자신들과 가까운 사이인 레베카와 비밀스러운 관계를 맺고 있다는 사실을 알지 못한다. 조안이 빅터와의 이별을 결심한 순간, 그의 갑작스러운 실종이 세 친구의 삶을 뒤흔든다.",6.232,0.0,0.0,"알리스, 조안, 레베카의 사랑",0.0,/eEOUHNPUdEOpAT4js1eTaQqdrAi.jpg,0.0,,0.0,0.0,/nVMpA0JPnfeu6R9sf7sTDwhTh5L.jpg,0.0,False,False,,2024-10-06,136,0,0,0,0,0,0,2024-11-06,2025-08-19
3014,3014,0.0,False,fr,0.0,35|80|18,0.0,Cash,1.0,Netflix,2023-07-06,0.8771,1140056,"빈부의 균형추를 맞추고, 아무 보람 없는 일에서 이윤을 창출하기로 결심한 공장 노동자. 사장의 바로 턱 밑에서 명품 향수를 빼돌려 팔 계획을 세운다.",6.143,0.0,0.0,골드 브릭,0.0,/d0vk80S59pdH5S9B5XzocGiPUZL.jpg,0.0,2023-07-06,1.0,0.0,/zgsxJpxiVaGpUFXKr6zujPWQvou.jpg,0.0,False,False,Netflix,2023-07-06,280,0,0,0,0,0,0,,2023-07-06
3015,3015,0.0,False,fr,0.0,35,0.0,God Save the Tuche,0.0,,2025-02-05,0.9487,1137759,,5.1,0.0,0.0,God Save the Tuche,0.0,/ntBV03zpD63GHXlU5YM5inmzsRu.jpg,0.0,,0.0,0.0,/mTgUJFnwI7vGkKKif7DAj1YxQQJ.jpg,0.0,False,False,,,152,0,0,0,0,0,0,2025-02-05,2026-01-08
3016,3016,0.0,False,en,0.0,18|10749,0.0,A Love Song,0.0,Catholic Film Festival,2023-10-27,0.7699,913851,미국 서부 지역 한 캠핑장에서 그녀는 과거의 기억을 가슴에 안고 ‘그’와의 재회를 기다린다.,6.667,0.0,0.0,마지막 사랑의 노래,0.0,/qnAWBl1nQgNk3wvy0rcIWOiv9pU.jpg,0.0,,0.0,0.0,/j7ynqTmnEZuqNXc0WqKvL7YNOSp.jpg,0.0,False,False,,2023-10-27,51,0,0,0,0,0,0,2022-07-29,2022-07-29
3017,3017,0.0,False,es,0.0,35|18|10749,0.0,Los amantes astronautas,0.0,,2024-06-20,0.8924,1058128,,8.362,0.0,0.0,Los amantes astronautas,0.0,/yQ5iYpYjVNZXgslPTgIbrb62c5.jpg,0.0,,0.0,0.0,/9unmtNASKsj8OmPWQ2VQCcCWF00.jpg,0.0,False,False,,,65,0,0,0,0,0,0,2024-06-20,2025-03-18
